ID,ra,dec,Tmag,e_Tmag,Teff,Teff_source,Teff_imputed,logg,rad,mass,rho,lum,d,ebv,contratio,priority,SpType_est,Tmag_tier,bp_rp,j_k,total_pm,wdflag,lumclass,objType,GAIA,TWOMASS,ALLWISE
383311087,186.264973876736,-89.5976899388824,12.7606,0.006,4956.0,catalog,False,4.7315,0.645941,0.82,3.04253,0.22678037,228.04,0.0670068,0.02803797,0.00128825137,K,12-13,1.215300000000001,0.6229999999999993,17.41894182517698,0,DWARF,STAR,5.764678033514965e+18,12250342-8935517,J122503.58-893551.8
435868652,53.0736434922628,-89.2517128925476,12.7677,0.006,5304.0,catalog,False,4.40115,0.995361,0.91,0.922783,0.706431568,391.481,0.100633,0.195282638,0.0005950764,G,12-13,1.114700000000001,0.5119999999999987,21.742374224450945,0,DWARF,STAR,4.611744155104726e+18,03321748-8915062,J033218.96-891506.3
451600566,280.960843651258,-89.33936199317,12.7699,0.006,6428.0,catalog,False,4.34478,1.26945,1.3,0.635476,2.47872066,677.085,0.133218,0.0128637021,0.000415403745,F,12-13,0.7993000000000006,0.27699999999999925,1.4776049859147065,0,DWARF,STAR,6.341157236997765e+18,18435060-8920215,J184350.59-892021.7
419666651,341.473216592173,-88.3733182560076,12.7721,0.00727203,3755.0,catalog,False,4.7316,0.506634,0.504573,3.88008,0.04597515,104.754,0.0419653,0.0104754465,0.00165091606,K,12-13,2.0183999999999997,0.7809999999999988,56.14599971725501,0,DWARF,STAR,6.341276190411747e+18,22455349-8822239,J224552.54-882224.3
325563589,83.6675078024432,-89.1412876271414,12.7788,0.006,5917.0,catalog,False,3.83592,2.07868,1.08,0.120244,4.771727,987.56,0.116166,0.0527912565,0.000203415562,G,12-13,0.9288999999999987,0.3810000000000002,8.171030316098454,0,DWARF,STAR,4.611828512559863e+18,05343999-8908286,J053439.95-890828.4
468216927,326.327511780048,-89.2053649250748,12.7798,0.006,6064.0,catalog,False,4.00319,1.75379,1.13,0.20948,3.74704576,856.242,0.132147,0.0166246351,0.000256373925,F,12-13,0.9056000000000015,0.3760000000000012,17.203971260615962,0,DWARF,STAR,6.341128099939663e+18,21451864-8912194,J214519.39-891219.3
451527566,261.155859407452,-89.8231274337598,12.781,0.006,5274.0,catalog,False,4.61651,0.772502,0.9,1.95228,0.415963143,303.077,0.0980045,0.0190994255,0.0008812532,G,12-13,1.1229999999999993,0.5050000000000008,14.865149606364547,0,DWARF,STAR,5.764610379190158e+18,17243448-8949232,J172437.04-894923.4
327829879,354.3249619272,-87.6568908187041,12.7817,0.006,6562.0,catalog,False,4.15399,1.61737,1.36,0.321449,4.36975861,908.807,0.117899,0.981915236,0.0002476065,F,12-13,0.7404000000000011,0.31899999999999906,9.94522517382588,0,DWARF,STAR,6.341777464634423e+18,23371816-8739247,J233718.16-873924.7
318612552,6.84665812053892,-87.6951829145339,12.7821,0.00734415,3683.0,catalog,False,4.70307,0.539434,0.535652,3.41246,0.04823677,112.68,0.0426075,2.98404765,0.001039675,M,12-13,2.1074,0.815999999999999,77.45634359804497,0,DWARF,STAR,4.612907477063692e+18,00272334-8741425,J002724.39-874142.7
257340803,340.753712327424,-87.6944794961393,12.7827,0.006,6054.0,catalog,False,4.15117,1.47908,1.13,0.349227,2.6475544,736.418,0.109592,0.0111367851,0.000328474562,F,12-13,0.8788999999999998,0.4299999999999997,15.090329580748891,0,DWARF,STAR,6.341718022287383e+18,22430090-8741401,J224301.17-874140.1
410339658,46.2303155787458,-88.4001292533741,12.7847,0.006,6279.0,catalog,False,4.26725,1.35009,1.23,0.499824,2.55259585,713.92,0.110113,0.0124853337,0.0003938603,F,12-13,0.8125,0.3439999999999994,7.065207346667188,0,DWARF,STAR,4.612110051958779e+18,03045510-8824004,J030455.46-882400.3
468179223,315.31266125493,-89.6260166796125,12.7851,0.006,6103.0,catalog,False,4.3211,1.22697,1.15,0.622577,1.88164556,607.624,0.130761,0.0114497012,0.0004399416,F,12-13,0.8920999999999992,0.3650000000000002,12.956042294234763,0,DWARF,STAR,6.341094663616748e+18,21011541-8937336,J210116.20-893733.6
468153073,308.616856512202,-88.6331977275064,12.7858,0.0061,6134.062446151689,bp_rp_poly,True,,,,,,642.362,,,,F,12-13,0.8615000000000013,0.32500000000000107,4.385993614603651,0,DWARF,STAR,6.341395006387188e+18,20342819-8837596,J203428.21-883759.5
394780938,28.6092679811596,-89.2473055523381,12.7866,0.006,5698.0,catalog,False,4.4485,0.992988,1.01,1.03155,0.9364246,451.845,0.0961892,0.028989071,0.0006108193,G,12-13,0.9709999999999983,0.4139999999999997,38.34789646968918,0,DWARF,STAR,4.611771234875907e+18,01542585-8914503,J015428.15-891450.1
